time,sfc_z_cm,abaqus_z_cm,z_cm_abs_error,sfc_min_gap,abaqus_min_gap,min_gap_abs_error,sfc_max_von_mises,abaqus_max_von_mises,von_mises_abs_error,sfc_max_strain_norm,abaqus_max_strain_norm,strain_norm_abs_error,sfc_p95_von_mises,abaqus_p95_von_mises,p95_von_mises_abs_error,sfc_volume_mean_von_mises,abaqus_volume_mean_von_mises,volume_mean_von_mises_abs_error,sfc_p95_strain_norm,abaqus_p95_strain_norm,p95_strain_norm_abs_error,sfc_volume_mean_strain_norm,abaqus_volume_mean_strain_norm,volume_mean_strain_norm_abs_error,sfc_normal_force_z,abaqus_normal_force_z,normal_force_z_abs_error,sfc_contact_energy,abaqus_contact_energy,contact_energy_abs_error,sfc_active_contact_area,abaqus_active_contact_area,active_contact_area_abs_error
0.0,0.06999999999999763,0.06999999913677948,8.632181497381097e-10,0.02,0.020567902673333333,0.0005679026733333321,0.0,0.0,0.0,0.0,4.66150362e-06,4.66150362e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694119335e-06,2.694119335e-06,0.0,8.385284641264311e-07,8.385284641264311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06999509499999765,0.06999506960984132,2.5390156324633928e-08,0.019995095,0.020562973150793976,0.0005678781507939754,4.452763776915415e-11,0.0038401566193544093,0.0038401565748267716,1.3263786078213843e-18,5.774576447197195e-06,5.774576447195868e-06,2.653299329401476e-11,0.002090441005403479,0.002090440978870486,1.3288460545980051e-11,0.0010362766020563209,0.0010362765887678602,7.656610318036267e-19,2.7030172193526953e-06,2.7030172193519296e-06,3.7358252475983553e-19,8.311990575892537e-07,8.311990575888801e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0699803799999977,0.0699803547403655,2.525963220534333e-08,0.01998038,0.020548258278748843,0.0005678782787488443,2.749609733271312e-10,0.01399558440321431,0.013995584128253335,8.231647941384507e-18,4.89616643338471e-06,4.8961664333764785e-06,1.301232436741216e-10,0.0077161880709528214,0.007716187940829578,4.9481637283460315e-11,0.003489268344857294,0.003489268295375657,3.733771234293378e-18,2.9361694155957188e-06,2.936169415591985e-06,1.3782885439515757e-18,8.12201558004133e-07,8.122015580027546e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.06995585499999765,0.06995585414944101,8.505566390093477e-10,0.019955855,0.02052375769064018,0.0005679026906401791,5.736707285865417e-10,0.03260260198368088,0.03260260141001015,1.6858980028582548e-17,5.323381538687101e-06,5.323381538670241e-06,3.53444186345478e-10,0.017018601837441204,0.017018601483997017,1.2581589613788405e-10,0.007782919215732438,0.007782919089916542,1.0170444703099257e-17,3.3717328089154235e-06,3.371732808905253e-06,3.499853250827784e-18,8.462920408679542e-07,8.462920408644544e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.06992151999999766,0.06992149458812433,2.541187332782968e-08,0.01992152,0.02048939811770213,0.0005678781177021301,1.9419327138884053e-09,0.05868091340626951,0.0586809114643368,5.598722180492422e-17,4.740111085616715e-06,4.740111085560728e-06,7.810882860612912e-10,0.031816375208989424,0.03181637442790114,2.382883376950033e-10,0.014231619287566062,0.014231619049277725,2.277594777401842e-17,2.5453869032029036e-06,2.5453869031801277e-06,6.651405135436573e-18,8.0110767890393e-07,8.011076788972786e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.06987737499999767,0.06987734954634378,2.5453653892948402e-08,0.019877375000000003,0.020445253077520403,0.0005678780775204006,1.947415788253301e-09,0.08988920697204641,0.08988920502463063,5.755778589198526e-17,6.130716578991364e-06,6.130716578933807e-06,1.0054811442719855e-09,0.04851916053889785,0.048519159533416706,4.2362690689034854e-10,0.02180994675148769,0.021809946327860784,2.8461453230606425e-17,2.6173857414561276e-06,2.617385741427666e-06,1.1640583294127279e-17,8.37812381789856e-07,8.378123817782154e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.06982341999999771,0.069823418720297,1.279700706513509e-09,0.019823420000000005,0.02039132225281526,0.0005679022528152569,3.6679760395351875e-09,0.1304062179844405,0.13040621431646446,1.0966926328545928e-16,5.749543565346642e-06,5.749543565236972e-06,1.6147253338702862e-09,0.07048476091802798,0.07048475930330264,6.905516280760264e-10,0.03133970907327835,0.03133970838272672,4.6174902118311406e-17,3.3712225797068404e-06,3.3712225796606657e-06,1.9618792460529438e-17,8.730498547706445e-07,8.730498547510257e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.06975965499999769,0.0697596289224183,2.6077579387551175e-08,0.019759655000000008,0.02032753245037404,0.0005678774503740311,4.367073396960509e-09,0.1759437797196823,0.1759437753526089,1.3043255125121777e-16,6.067006219778617e-06,6.067006219648184e-06,2.3657432739473378e-09,0.09249778689752891,0.09249778453178564,1.0813388104864978e-09,0.0421438038953753,0.04214380281403649,6.734562878076274e-17,2.841681291808861e-06,2.8416812917415153e-06,3.056963110849998e-17,8.636567593689117e-07,8.636567593383421e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.06968607999999772,0.06968605388638861,2.611360910842464e-08,0.019686080000000016,0.020253957410413918,0.0005678774104139021,6.438150638300304e-09,0.22899392271386548,0.22899391627571483,1.9208822554996388e-16,6.386972191976973e-06,6.386972191784885e-06,3.4396669302753347e-09,0.11931489586639223,0.1193148924267253,1.6045454391617618e-09,0.05517358796244458,0.05517358635789914,9.654325335809947e-17,2.3744282432546454e-06,2.3744282431581022e-06,4.511406127113181e-17,8.082764984067521e-07,8.082764983616381e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,0.06960269499999772,0.06960266886176296,2.6138234757167034e-08,0.019602695000000024,0.02017057239392596,0.0005678773939259349,1.0144132067134366e-08,0.29286944968393974,0.29286943953980765,2.9091062685178423e-16,6.235906253435169e-06,6.235906253144258e-06,4.635583689914632e-09,0.1532895282207653,0.1532895235851816,2.0358158948294057e-09,0.07012809360930443,0.07012809157348854,1.3442320569873558e-16,2.8302068052631647e-06,2.8302068051287414e-06,5.740668121387109e-17,8.111013485161627e-07,8.11101348458756e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
