metric,value,status
duration_seconds,1.0,reported
abaqus_input_duration_seconds,1.0,reported
initial_gap,0.02,reported
ballistic_contact_time_estimate,0.06385508568141009,reported
max_z_cm_abs_error,0.0002620857548957384,check
rms_z_cm_abs_error,9.513284595429342e-05,reported
max_min_gap_abs_error,0.0008251592139528283,check
sfc_contact_activated,true,reported
abaqus_contact_activated,true,reported
sfc_solve_wall_seconds,28.662549200002104,reported
node_count,267,reported
element_count,528,reported
surface_sample_count,266,reported
core_abaqus_dependency,false,supported
sfc_contact_path,MaterialSDF+LagrangianSDFContactOracle,supported
sfc_first_contact_time,0.064,reported
abaqus_first_contact_time,0.851004958152771,reported
first_contact_time_abs_error,0.7870049581527709,reported
max_von_mises_abs_error,219192.07919138775,reported
rms_von_mises_abs_error,16939.380574444822,reported
max_p95_von_mises_abs_error,103480.2376118039,reported
rms_p95_von_mises_abs_error,7428.522192286327,reported
max_volume_mean_von_mises_abs_error,14475.728447243942,reported
rms_volume_mean_von_mises_abs_error,2495.2025649924935,reported
max_strain_norm_abs_error,0.015342794919859251,reported
rms_strain_norm_abs_error,0.0012695128740125307,reported
max_p95_strain_norm_abs_error,0.0052027258413290065,reported
rms_p95_strain_norm_abs_error,0.0003546596908910336,reported
max_volume_mean_strain_norm_abs_error,0.000641843609913011,reported
rms_volume_mean_strain_norm_abs_error,9.331675638388764e-05,reported
full_z_cm_l2_error,0.003009868541604879,reported
full_min_gap_l2_error,0.016674956459015653,reported
max_normal_force_z_abs_error,337.2753065070882,reported
rms_normal_force_z_abs_error,39.58369006771989,reported
max_contact_energy_abs_error,0.0650406470424387,reported
rms_contact_energy_abs_error,0.006502661891234168,reported
max_active_contact_area_abs_error,0.0001748977563295549,reported
rms_active_contact_area_abs_error,2.8024315976934618e-05,reported
newton_iterations_total,0,reported
newton_failed_steps,0,reported
contact_stiffness,5000000000.0,reported
contact_damping,0.0,reported
mass_damping,0.0,reported
stiffness_damping,0.0,reported
damping_start_time,0.0,reported
requested_damping_start_time,0.0,reported
damping_start_policy,time,reported
time_integrator,explicit,reported
hht_alpha,0.0,reported
contact_integration,node,reported
quadrature_order,3,reported
hybrid_node_area_fraction,0.15,reported
adaptive_increments,false,reported
accepted_increment_count,200000,reported
cutback_count,0,reported
min_accepted_increment,5e-06,reported
max_accepted_increment,5e-06,reported
residual_tolerance,0.0,reported
