time,sfc_z_cm,abaqus_z_cm,z_cm_abs_error,sfc_min_gap,abaqus_min_gap,min_gap_abs_error,sfc_max_von_mises,abaqus_max_von_mises,von_mises_abs_error,sfc_max_strain_norm,abaqus_max_strain_norm,strain_norm_abs_error,sfc_p95_von_mises,abaqus_p95_von_mises,p95_von_mises_abs_error,sfc_volume_mean_von_mises,abaqus_volume_mean_von_mises,volume_mean_von_mises_abs_error,sfc_p95_strain_norm,abaqus_p95_strain_norm,p95_strain_norm_abs_error,sfc_volume_mean_strain_norm,abaqus_volume_mean_strain_norm,volume_mean_strain_norm_abs_error,sfc_normal_force_z,abaqus_normal_force_z,normal_force_z_abs_error,sfc_contact_energy,abaqus_contact_energy,contact_energy_abs_error,sfc_active_contact_area,abaqus_active_contact_area,active_contact_area_abs_error
0.0,0.06999999999999763,0.06999999913677948,8.632181497381097e-10,0.02,0.020567902673333333,0.0005679026733333321,0.0,0.0,0.0,0.0,4.66150362e-06,4.66150362e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694119335e-06,2.694119335e-06,0.0,8.385284641264311e-07,8.385284641264311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06999509499999765,0.06999506960984132,2.5390156324633928e-08,0.019995095,0.020562973150793976,0.0005678781507939754,3.626839713734733e-12,0.00045041268636135433,0.0004504126827345146,1.0967460950851741e-18,5.774576447197195e-06,5.774576447196098e-06,2.137817628926201e-12,0.00027577267287195946,0.0002757726707341418,8.512175453229058e-13,0.00013189053735924004,0.0001318905365080225,6.314217322554228e-19,2.743320795216556e-06,2.7433207952159246e-06,2.3711612603204923e-19,8.249889523928941e-07,8.24988952392657e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0699803799999977,0.06998035473584518,2.5264152520021455e-08,0.01998038,0.020548258278748843,0.0005678782787488443,2.3841770027284116e-11,0.0015028211704443174,0.0015028211466025475,7.100823837689014e-18,4.8099802939081405e-06,4.80998029390104e-06,9.521775087020036e-12,0.0008543967991450757,0.0008543967896233007,4.1141140092266036e-12,0.0003868158470842223,0.0003868158429701083,2.8059958869713843e-18,2.9135787844973037e-06,2.913578784494498e-06,1.1606985746440899e-18,8.129689664387808e-07,8.129689664376202e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.06995585499999765,0.0699558541321446,8.678530533101636e-10,0.019955855,0.02052375767064018,0.0005679026706401774,5.0222125771449856e-11,0.00326205572303216,0.003262055672810034,1.4790265155404123e-17,5.323381536416978e-06,5.323381536402188e-06,2.2862127093014905e-11,0.001759377597658221,0.0017593775747960939,1.2125788881769597e-11,0.0007981544399952676,0.0007981544278694787,6.243173777137206e-18,3.4164697979425853e-06,3.4164697979363422e-06,3.4056707524889574e-18,8.451121965230914e-07,8.451121965196857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.06992151999999766,0.06992149451725121,2.548274644076365e-08,0.01992152,0.02048939805790113,0.0005678780579011292,1.0773557684624216e-10,0.005726170248033364,0.005726170140297787,3.21839478899765e-17,4.740111085616715e-06,4.7401110855845315e-06,5.733793984422166e-11,0.0036812170044974776,0.0036812169471595376,1.7889887920007236e-11,0.001863721476861184,0.0018637214589712961,1.673628848632244e-17,2.5515370239243317e-06,2.5515370239075956e-06,5.024800176002278e-18,8.03005784303342e-07,8.030057842983172e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.06987737499999767,0.0698773493902964,2.5609701276296803e-08,0.019877375,0.020445252936262048,0.0005678779362620484,1.2136844275695906e-10,0.007824024244996184,0.00782402412362774,3.5726153206850333e-17,6.130716578991364e-06,6.130716578955638e-06,6.394993003243019e-11,0.005725134872449203,0.0057251348084992725,3.176573420143873e-11,0.002735775859634044,0.0027357758278683097,1.8088179494651738e-17,2.6557420596807833e-06,2.655742059662695e-06,9.019167838450449e-18,8.442616093538919e-07,8.442616093448727e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.06982341999999771,0.06982341838296606,1.6170316474717339e-09,0.01982342,0.020391321922815273,0.0005679019228152712,1.8481460340260365e-10,0.013869323583678102,0.013869323398863499,5.4184314707731804e-17,5.565589783988786e-06,5.565589783934601e-06,1.1030464385502077e-10,0.00799373713437445,0.007993737024069806,5.0810156135169115e-11,0.0036389640335593642,0.0036389639827492082,3.04440324751144e-17,3.199437875530155e-06,3.199437875499711e-06,1.4272559875094562e-17,8.57716322896041e-07,8.577163228817684e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.06975965499999767,0.06975962838530478,2.6614692894000314e-08,0.019759655,0.020327531899810198,0.000567876899810197,3.258876988300014e-10,0.02197134902959594,0.021971348703708243,9.701654241530035e-17,6.0660910228601705e-06,6.066091022763154e-06,1.2272102456781515e-10,0.010567246503735939,0.010567246381014915,5.71264647490644e-11,0.00477690524043877,0.004776905183312305,3.429488382085361e-17,2.9425373364788054e-06,2.9425373364445103e-06,1.610680136330837e-17,8.573120744787773e-07,8.573120744626706e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.06968607999999771,0.06968605340474388,2.6595253832528698e-08,0.01968608,0.02025395693337227,0.0005678769333722668,5.678909984183113e-10,0.027626518096222907,0.02762651752833191,1.6958453595392044e-16,6.386972191976973e-06,6.386972191807389e-06,2.151014245119079e-10,0.01602708461801939,0.016027084402917967,9.530492421038586e-11,0.008453932654680293,0.00845393255937537,6.189718085133253e-17,2.614597526893311e-06,2.6145975268314137e-06,2.6972791722445336e-17,8.112310321622416e-07,8.112310321352688e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,0.06960269499999769,0.0696026687586759,2.6241321782194404e-08,0.019602695,0.020170572278776,0.0005678772787760002,1.0303909670160247e-09,0.03282559686173277,0.0328255958313418,3.07895584368459e-16,5.932299315453891e-06,5.9322993151459955e-06,4.901494340027064e-10,0.015915799340639986,0.01591579885049055,1.2985135250621934e-10,0.007437914191740128,0.007437914061888775,1.4518514481410393e-16,2.4585624147901224e-06,2.458562414644937e-06,3.645215842954585e-17,8.121112874713021e-07,8.1211128743485e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.06950949999999767,0.06950947451885146,2.5481146206929317e-08,0.019509500000000003,0.02007737806074198,0.0005678780607419782,1.1701674910705815e-09,0.03803062624092002,0.03803062507075253,3.4421426857943836e-16,5.059090072633998e-06,5.059090072289784e-06,6.2999763744131e-10,0.01992536194434936,0.019925361314351724,1.5548047604900692e-10,0.009246148238076917,0.009246148082596441,1.8437288631486424e-16,2.780680627535519e-06,2.780680627351146e-06,4.390139635241673e-17,8.086969413925339e-07,8.086969413486325e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011000000000000001,0.06940649499999767,0.06940647066441026,2.4335587406332237e-08,0.019406495000000003,0.019974374170494816,0.000567879170494813,2.1842136180533796e-09,0.04770730357395425,0.047707301389740636,6.44554948311775e-16,5.473051649208906e-06,5.473051648564351e-06,1.0903247703535893e-09,0.024694948768834137,0.024694947678509365,2.3905258286433273e-10,0.01173576564949506,0.011735765410442477,3.2563984854128932e-16,2.6173631065026572e-06,2.6173631061770175e-06,6.884455124998942e-17,8.255961651918919e-07,8.255961651230474e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.06929367999999766,0.06929368174352588,1.7435282106958994e-09,0.019293680000000004,0.0198615852517699,0.0005679052517698971,2.156783578332388e-09,0.05417980641655638,0.0541798042597728,6.45916713858119e-16,5.323381565910593e-06,5.323381565264676e-06,1.2083873147246017e-09,0.02706527698401485,0.027065275775627538,2.782010274746893e-10,0.012942109495120292,0.012942109216919264,3.494959557840027e-16,2.7822293028798343e-06,2.7822293025303383e-06,7.924814698270871e-17,8.404637780832488e-07,8.404637780040006e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013000000000000001,0.06917105499999768,0.06917103416967516,2.0830322522424893e-08,0.019171055000000003,0.019738937709613706,0.0005678827096137033,2.439477292291192e-09,0.06027251455902863,0.060272512119551334,7.311955725229001e-16,5.409308619309116e-06,5.409308618577921e-06,1.2801151917261839e-09,0.033773838520636396,0.0337738372405212,3.188057509931975e-10,0.015794178129639357,0.015794177810833605,3.704330597758499e-16,2.860837868746682e-06,2.860837868376249e-06,9.047844981492225e-17,8.150331441988365e-07,8.15033144108358e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,0.06903861999999768,0.06903860084305888,1.9156938799169687e-08,0.019038620000000006,0.019606504443605902,0.0005678844436058962,2.7499704323675074e-09,0.06132395510653719,0.061323952356566756,7.746811792924198e-16,4.8743400511660665e-06,4.874340050391385e-06,1.4657756206017373e-09,0.041227223127660244,0.041227221661884625,4.407574552702848e-10,0.019234505198000927,0.019234504757243472,4.2568623817100455e-16,2.4038218767078306e-06,2.4038218762821445e-06,1.245971430988634e-16,8.097792933079763e-07,8.097792931833792e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015000000000000001,0.0688963749999977,0.06889635653527844,1.8464719267474727e-08,0.018896375000000007,0.01946426006964019,0.0005678850696401831,3.219705213873801e-09,0.08397331198785352,0.0839733087681483,9.612747772477847e-16,4.472339524662128e-06,4.4723395237008535e-06,2.155831307288126e-09,0.05093807691023391,0.0509380747544026,1.1883066471900329e-09,0.02368185162354889,0.023681850435242242,5.756644809573953e-16,2.621798887433233e-06,2.6217988868575688e-06,3.320752051890827e-16,8.048469173405303e-07,8.04846917008455e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.06874431999999768,0.06874430144756542,1.8552432257123996e-08,0.01874432000000001,0.01931220497919075,0.00056788497919074,4.3203344059523825e-09,0.09262590312306189,0.09262589880272748,1.2900888929034898e-15,4.8890786366486175e-06,4.889078635358529e-06,2.603516803475345e-09,0.05464594255712734,0.054645939953610535,1.2626843188790338e-09,0.02589845548389147,0.02589845422120715,7.162538801301333e-16,2.7039220948351143e-06,2.7039220941188603e-06,3.5945816782761326e-16,8.349017962562675e-07,8.349017958968094e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017,0.0685824549999977,0.0685824355773766,1.942262109477788e-08,0.018582455000000015,0.019150339170307517,0.0005678841703075019,4.8191773983812e-09,0.10045238062765575,0.10045237580847835,1.4368112736186751e-15,5.7314159894131684e-06,5.7314159879763575e-06,2.8915116977488542e-09,0.06031051985556793,0.06031051696405623,1.4963607672380188e-09,0.027066241997648583,0.027066240501287815,8.218838996468618e-16,2.5140203474778013e-06,2.5140203466559176e-06,4.207523055020176e-16,8.498752080473651e-07,8.498752076266128e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
