metric,value,status
duration_seconds,1.0,reported
abaqus_input_duration_seconds,1.0,reported
initial_gap,0.02,reported
ballistic_contact_time_estimate,0.06385508568141009,reported
max_z_cm_abs_error,0.0006664331569776957,check
rms_z_cm_abs_error,0.00019611240341594274,reported
max_min_gap_abs_error,0.001228723401044542,check
sfc_contact_activated,true,reported
abaqus_contact_activated,true,reported
sfc_solve_wall_seconds,23.48670110013336,reported
node_count,267,reported
element_count,528,reported
surface_sample_count,266,reported
core_abaqus_dependency,false,supported
sfc_contact_path,MaterialSDF+LagrangianSDFContactOracle,supported
sfc_first_contact_time,0.064,reported
abaqus_first_contact_time,0.20400498807430267,reported
first_contact_time_abs_error,0.14000498807430267,reported
max_von_mises_abs_error,102934.249727952,reported
rms_von_mises_abs_error,12110.151200459975,reported
max_p95_von_mises_abs_error,134872.88969522563,reported
rms_p95_von_mises_abs_error,7866.330352787371,reported
max_volume_mean_von_mises_abs_error,11880.544641793265,reported
rms_volume_mean_von_mises_abs_error,1368.1313337061843,reported
max_strain_norm_abs_error,0.06057232806000435,reported
rms_strain_norm_abs_error,0.007299974603069034,reported
max_p95_strain_norm_abs_error,0.05898697755015942,reported
rms_p95_strain_norm_abs_error,0.0034554340728483327,reported
max_volume_mean_strain_norm_abs_error,0.0038806108087105187,reported
rms_volume_mean_strain_norm_abs_error,0.0005842937730588112,reported
full_z_cm_l2_error,0.006204718756587687,reported
full_min_gap_l2_error,0.018445488017214448,reported
max_normal_force_z_abs_error,166.25730532603214,reported
rms_normal_force_z_abs_error,24.01891530802151,reported
max_contact_energy_abs_error,0.015804371739446096,reported
rms_contact_energy_abs_error,0.0017500289730678496,reported
max_active_contact_area_abs_error,0.0001748977563295549,reported
rms_active_contact_area_abs_error,4.0518061717233856e-05,reported
newton_iterations_total,0,reported
newton_failed_steps,0,reported
contact_stiffness,5000000000.0,reported
contact_damping,0.0,reported
mass_damping,0.0,reported
stiffness_damping,0.0,reported
damping_start_time,0.0,reported
requested_damping_start_time,0.0,reported
damping_start_policy,time,reported
time_integrator,explicit,reported
hht_alpha,0.0,reported
contact_integration,node,reported
quadrature_order,3,reported
hybrid_node_area_fraction,0.15,reported
adaptive_increments,false,reported
accepted_increment_count,200000,reported
cutback_count,0,reported
min_accepted_increment,5e-06,reported
max_accepted_increment,5e-06,reported
residual_tolerance,0.0,reported
