case,solver,resolution,source,frame_count,pvd,first_frame,status
block_plane_c3d8,sfc,1,native_sfc_rerun,41,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\sfc\sfc_block_plane_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\sfc\sfc_block_plane_c3d8_r1_0000.vtk,
block_plane_c3d8,calculix,1,paper\numerical_experiments\phase9_full_contact_validation\c3d8_dynamic_trajectory\calculix_runs\block_plane_c3d8_r1\block_plane_c3d8_r1.dat,69,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\calculix\calculix_block_plane_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\calculix\calculix_block_plane_c3d8_r1_0000.vtk,exported
block_plane_c3d8,sfc_common_time,1,native_sfc_rerun_resampled_to_sfc_times,41,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\common_time_frames\sfc\common_sfc_block_plane_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\common_time_frames\sfc\common_sfc_block_plane_c3d8_r1_0000.vtk,exported
block_plane_c3d8,calculix_common_time,1,paper\numerical_experiments\phase9_full_contact_validation\c3d8_dynamic_trajectory\calculix_runs\block_plane_c3d8_r1\block_plane_c3d8_r1.dat,41,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\common_time_frames\calculix\common_calculix_block_plane_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\common_time_frames\calculix\common_calculix_block_plane_c3d8_r1_0000.vtk,interpolated_to_sfc_times
block_plane_c3d8,sfc_minus_calculix_common_error,1,common_time_sfc_minus_interpolated_calculix,41,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\common_time_frames\error\common_error_block_plane_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_plane_c3d8\common_time_frames\error\common_error_block_plane_c3d8_r1_0000.vtk,exported
block_block_c3d8,sfc,1,native_sfc_rerun,41,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\sfc\sfc_block_block_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\sfc\sfc_block_block_c3d8_r1_0000.vtk,
block_block_c3d8,calculix,1,paper\numerical_experiments\phase9_full_contact_validation\c3d8_dynamic_trajectory\calculix_runs\block_block_c3d8_r1\block_block_c3d8_r1.dat,70,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\calculix\calculix_block_block_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\calculix\calculix_block_block_c3d8_r1_0000.vtk,exported
block_block_c3d8,sfc_common_time,1,native_sfc_rerun_resampled_to_sfc_times,41,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\common_time_frames\sfc\common_sfc_block_block_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\common_time_frames\sfc\common_sfc_block_block_c3d8_r1_0000.vtk,exported
block_block_c3d8,calculix_common_time,1,paper\numerical_experiments\phase9_full_contact_validation\c3d8_dynamic_trajectory\calculix_runs\block_block_c3d8_r1\block_block_c3d8_r1.dat,41,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\common_time_frames\calculix\common_calculix_block_block_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\common_time_frames\calculix\common_calculix_block_block_c3d8_r1_0000.vtk,interpolated_to_sfc_times
block_block_c3d8,sfc_minus_calculix_common_error,1,common_time_sfc_minus_interpolated_calculix,41,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\common_time_frames\error\common_error_block_block_c3d8_r1.pvd,paper\numerical_experiments\dynamic_vtk_frames\block_block_c3d8\common_time_frames\error\common_error_block_block_c3d8_r1_0000.vtk,exported
