case,body,indentation,element_id,centroid_x,centroid_y,centroid_z,von_mises,status,details
deformable_deformable_block_contact_stress_cloud,lower,0.07,0,0.05,0.05,0.03125,102588.22754004746,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,1,0.15000000000000002,0.15000000000000002,0.03125,41359.91988077114,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,2,0.1,0.1,0.0625,78202.72064239609,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,3,0.05,0.15000000000000002,0.09375,96813.37813334865,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,4,0.15000000000000002,0.05,0.09375,96813.37813334861,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,5,0.25,0.05,0.03125,83509.1226267795,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,6,0.35,0.15000000000000002,0.03125,32961.42015420442,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,7,0.30000000000000004,0.1,0.0625,61325.8323826183,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,8,0.25,0.15000000000000002,0.09375,51205.68687575458,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,9,0.35,0.05,0.09375,77953.18316409388,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,10,0.44999999999999996,0.05,0.03125,73608.54981485021,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,11,0.55,0.15000000000000002,0.03125,32323.89363566861,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,12,0.5,0.1,0.0625,56756.05893709491,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,13,0.45000000000000007,0.15000000000000002,0.09375,43966.839511030375,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,14,0.55,0.05,0.09375,76732.46833090819,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,15,0.65,0.05,0.03125,72387.85065314388,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,16,0.75,0.15000000000000002,0.03125,38045.13289506118,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,17,0.7,0.1,0.0625,59703.36525761254,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,18,0.6499999999999999,0.15000000000000002,0.09375,43156.54601929381,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,19,0.75,0.05,0.09375,87953.38701153263,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,20,0.8500000000000001,0.05,0.03125,83471.35761356869,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,21,0.95,0.15000000000000002,0.03125,83471.35761356875,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,22,0.9,0.1,0.0625,93330.86500497146,ok,element von Mises stress for two-block normal contact validation
