problem,step,closure_mm,calculix_time,displacement_l2_rel_error,displacement_l2_abs_error,sfc_displacement_l2_norm,calculix_displacement_l2_norm,strain_l2_rel_error,stress_l2_rel_error,von_mises_l2_rel_error,sfc_min_gap_mm,sfc_active_samples,sfc_contact_backend,sfc_quadrature_order,sfc_sdf_spacing_scale,sfc_relaxation,sfc_max_iterations,sfc_batch_projection_threshold,sfc_projection_mode,sfc_quadrature_points,sfc_max_von_mises_MPa,calculix_max_von_mises_MPa,sfc_max_strain_norm,calculix_max_strain_norm,status,details
problem_1,1,0.0015728571428571426,1.0,0.013528814183750225,3.194520967804851e-07,2.3593553553940823e-05,2.361271966941393e-05,0.01869637736420108,0.01726834917519056,0.01586127883950865,-0.0011385097684889316,16,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,1.8367474689986076,1.8686836778541267,3.918909031300813e-05,3.987886530927297e-05,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,2,0.003145714285714285,2.0,0.039416815583122364,6.397139393375479e-06,0.0001560090408318853,0.00016229467801337635,0.04521653100438518,0.04346931610248732,0.04415076640956793,-0.002624742568469219,54,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,11.917044797756526,12.495535321502203,0.0002541988831114623,0.00026664911477430593,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,3,0.004718571428571428,3.0,0.011187294363351866,4.707347565897178e-06,0.00041682813345733356,0.0004207762317685893,0.015919528032644494,0.014332591034813937,0.01447110901234553,-0.0040262311729300174,80,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,31.32873940442978,31.833695651824243,0.0006681213939036839,0.0006795383183408791,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,4,0.00629142857142857,4.0,0.012431519157468643,9.50675434519439e-06,0.0007560938889806698,0.0007647298954193298,0.016403785994017494,0.014646101954945546,0.014794531297279112,-0.0053752630280855355,106,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,56.23683071094737,57.12336335250806,0.0011991537865616783,0.001220061093235708,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,5,0.007864285714285713,5.0,0.008327165207658598,9.951189929400702e-06,0.0011870553659283716,0.001195027320972144,0.011926238433239256,0.009998781911029818,0.00989322209624369,-0.0066663667012252835,134,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,87.25879433269021,88.14523469830684,0.0018603393754472943,0.0018839847520841888,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,6,0.009437142857142856,6.0,0.0055038633544129,9.415110480672375e-06,0.0017064742546025493,0.001710636669989909,0.008204639198052657,0.006424074124638911,0.0056809831130530866,-0.007901825471381282,164,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,124.10066695681397,124.6766648269155,0.002645405359201361,0.0026671571054094545,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,7,0.011009999999999999,7.0,0.0070751304625650685,1.624808439488032e-05,0.0022843527442757247,0.0022965066836364207,0.010049510449029304,0.007620670378517113,0.007115001315959391,-0.009101010641962837,192,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,164.6485017331442,165.60151792495046,0.0035093009287895326,0.0035463155537554846,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,8,0.01258285714285714,8.0,0.005327018574296125,1.575224914994438e-05,0.0029512371392626606,0.002957047911556376,0.007637988512382675,0.005757687731682782,0.004457904670256167,-0.010246966107171102,224,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,210.56550971803475,210.87619398869933,0.004487300789968804,0.004521101178945789,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,9,0.014155714285714284,9.0,0.00543697443478556,1.9986962468377347e-05,0.0036688054200977,0.0036761185302806474,0.0076515278175235965,0.005830117899129801,0.004231906476301424,-0.011363245512823701,240,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,259.5076007114671,259.49818708126423,0.005529573648102682,0.005570644206862108,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,10,0.015728571428571425,10.0,0.006234896741086158,2.7768755244642032e-05,0.00443798258559535,0.004453763453956503,0.008694438996007242,0.006312308945477316,0.004669128403714973,-0.012448487599504031,270,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,311.43568789192364,311.34050375514477,0.006635248701584014,0.0066928051005660846,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,11,0.01730142857142857,11.0,0.006035785923795549,3.1866724490063465e-05,0.005266575776194825,0.005279631334244599,0.00829355484991974,0.006625141422306042,0.004531955718753468,-0.013500023223541179,298,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,366.68347092956805,365.7118072769415,0.0078113520875922006,0.007873215301805457,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,12,0.01887428571428571,12.0,0.006206423507657032,3.820082790892238e-05,0.0061426674650867106,0.006155046922239997,0.008359851555368164,0.007308166177864132,0.004963922278057597,-0.01452497386128964,316,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,424.41977975388056,422.48670700069454,0.009040154349747314,0.009109649345955585,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,13,0.020447142857142855,13.0,0.006564260192513592,4.6542816575041853e-05,0.007075296587860452,0.00709033694735669,0.00876348186084535,0.008059503771752711,0.005537013184148846,-0.015517274735269617,348,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,485.31308867417704,482.35784317255224,0.010335932798245765,0.010417882114995036,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,14,0.02202,14.0,0.0069611284350548615,5.613810598777375e-05,0.008046372232612743,0.008064512314565751,0.009228357888065402,0.00889676254597956,0.006210109528157851,-0.016488816143351338,356,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,548.1918951263712,544.0035531599386,0.011673732942167211,0.011769648884520789,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,15,0.023592857142857138,15.0,0.007422037736865111,6.748315422891831e-05,0.009069632416762048,0.009092267733122786,0.009799673319533868,0.009778935330098089,0.00692778030737593,-0.017432229486852018,394,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,613.4920539298041,607.8806863978197,0.01306264588131142,0.013175400563848257,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,16,0.02516571428571428,16.0,0.00789714647726639,8.039288030429137e-05,0.010152344635494252,0.010179991030395514,0.010387033137305138,0.010725401614536851,0.007718564908254017,-0.018344345550552196,418,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,681.6198990676725,674.2887922504823,0.014511295360465384,0.01464240379277092,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,17,0.026738571428571428,17.0,0.008319263485582014,9.401683659943798e-05,0.01127236232430167,0.011301100964331408,0.010887857155545575,0.011867736250775553,0.008700969995960754,-0.019237004931453125,442,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,751.4112302310261,741.9510575861119,0.015994971663955464,0.016143129255823604,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,18,0.02831142857142857,18.0,0.008766669100621363,0.00010918910962871689,0.0124279984803146,0.012455028058601846,0.011389566114018864,0.01315754083112519,0.009842608233476114,-0.020110654438737666,470,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,822.9104319736695,810.9034120169599,0.017514694441127753,0.01767883122657854,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,19,0.029884285714285707,19.0,0.009280044273236905,0.00012669223127250004,0.013620068286988866,0.013652114962196128,0.012037067513911896,0.014259821538804538,0.010800756149635436,-0.02096549316252946,486,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,896.095095405616,881.423358787201,0.01906995908145468,0.01925610830520703,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,20,0.03145714285714285,20.0,0.009919947046596194,0.00014779345585650447,0.01485168565244639,0.014898613385967263,0.012924743055149427,0.015136374221987176,0.011478653587175681,-0.02180055784438129,516,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,970.8775923822946,953.6652820371073,0.020658769379393392,0.020878971232747477,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_1,21,0.03303,21.0,0.010488449297920227,0.00016958121928159378,0.01611515853221614,0.016168378610098285,0.01366284654492909,0.0163209205827017,0.012475125075968263,-0.022619590384590646,528,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,1047.0277491893285,1026.6260782100399,0.02227630934745286,0.02252545972652352,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,1,8.933333333333333e-05,1.0,1.0,7.099967449067855e-07,0.0,7.099967449067855e-07,1.0,1.0,1.0,2.404743511608119e-07,0,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,0.0,0.029355218369337563,0.0,6.215655273016121e-07,failed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,2,0.00017866666666666665,2.0,0.05050753822261612,5.871822565547097e-07,1.1089432209509078e-05,1.1625636038063382e-05,0.0672859699693553,0.0647735229995299,0.06297838401911594,-8.38119655740565e-05,96,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,0.44254144371269255,0.4777205539316809,9.364885695929696e-06,1.0114345312686663e-05,failed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,3,0.000268,3.0,0.021133643057034836,6.711103523710915e-07,3.185991814784947e-05,3.1755544964960335e-05,0.03365491519864147,0.03131873705397203,0.026289246868251463,-0.00016306676195992483,96,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,1.2714208158987623,1.304441791695189,2.6905312030272115e-05,2.761837398576349e-05,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,4,0.0003573333333333333,4.0,0.021738333304446633,1.1866929668991927e-06,5.49105010529674e-05,5.4589878178767805e-05,0.03302204999632837,0.030788491998621232,0.0255661063870539,-0.00024101415005222385,128,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,2.191295091825995,2.2424260632087822,4.637135952159278e-05,4.747939297102642e-05,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,5,0.00044666666666666666,5.0,0.02112886093096927,1.7207994820520562e-06,8.167760991500256e-05,8.144307862473663e-05,0.033867930258493675,0.03150503466509223,0.026478305864841373,-0.00031720177118683436,128,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,3.2594877776801865,3.3455105017448967,6.897609631351193e-05,7.083784074777359e-05,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,6,0.000536,6.0,0.021133491380958776,2.2999782333531045e-06,0.00010850327707337127,0.00010883096370083834,0.036168187384106015,0.0336217606148005,0.02907187536088627,-0.0003933078887254266,128,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,4.3300209992142715,4.470656001280444,9.163039783895877e-05,9.466528429763981e-05,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,7,0.0006253333333333333,7.0,0.020976471438487833,2.9905962943422e-06,0.0001426823164323417,0.0001425690828465566,0.03463735871843076,0.032189309630951575,0.02729887554724744,-0.0004657570094544132,160,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,5.694008189631836,5.856309011768431,0.00012049471495391512,0.00012401185623062797,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,8,0.0007146666666666666,8.0,0.021003171234324405,3.7635827294085517e-06,0.00017894758912013534,0.00017919116534449435,0.03549221936861472,0.03297305266602694,0.028249691137807433,-0.0005372292392487312,160,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,7.141254055360415,7.360429288630783,0.0001511209815109736,0.00015587053206674793,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,9,0.000804,9.0,0.021798436291641656,4.720940267100361e-06,0.0002152646642742074,0.0002165724276704448,0.03769156235337294,0.03505997546783685,0.030733288187759455,-0.0006086196186147544,160,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,8.59057289478278,8.895821575811652,0.000181791168622215,0.0001883948757398685,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,10,0.0008933333333333333,10.0,0.021124062059734387,5.513209394247583e-06,0.0002603563441645778,0.0002609919142756441,0.03599150021129115,0.033427777165712574,0.028764738550522282,-0.0006756726125432736,224,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,10.390069139144002,10.71964696519222,0.000219871812137894,0.000227033235358244,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
problem_3,11,0.0009826666666666666,11.0,0.021125673659247377,6.559875723107271e-06,0.00031116906388302607,0.00031051675931933207,0.034244391060817114,0.03181782081600096,0.026761228152899677,-0.000739842176742248,288,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,3584,12.41789296427318,12.752639629920118,0.0002627843791433831,0.0002701083142198642,passed_native_solver_agreement,CalculiX native *CONTACT PAIR versus independent SFC DynamicNarrowBandSDF+field_contact on the same closure history.
