case,external_solver,resolution,element_id,centroid_x,centroid_y,centroid_z,von_mises_sfc,von_mises_external,von_mises_abs_error,status,details
cantilever_external_open_source_fem_stress_cloud,scikit-fem,1,0,0.25,0.05,0.05,97.96706610173409,97.96706610173244,1.6484591469634324e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,1,1,0.75,0.15000000000000002,0.05,12.804250378747197,12.804250378747033,1.6342482922482304e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,1,2,0.5,0.1,0.1,44.945338137355094,44.945338137354604,4.902744876744691e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,1,3,0.25,0.15000000000000002,0.15000000000000002,97.96706610173412,97.96706610173244,1.6768808563938364e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,1,4,0.75,0.05,0.15000000000000002,12.8042503787471,12.80425037874695,1.4921397450962104e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,0,0.125,0.025,0.025,183.5477011021816,183.54770110217714,4.462208380573429e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,1,0.375,0.07500000000000001,0.025,100.22516137821236,100.22516137820574,6.622258297284134e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,2,0.25,0.05,0.05,92.30903028829987,92.30903028829255,7.318590178329032e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,3,0.125,0.07500000000000001,0.07500000000000001,172.94425634570882,172.94425634570433,4.490630090003833e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,4,0.375,0.025,0.07500000000000001,73.75548299483752,73.7554829948322,5.314859663485549e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,5,0.625,0.025,0.025,103.51365320606347,103.51365320605875,4.718003765447065e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,6,0.875,0.07500000000000001,0.025,24.180789435516534,24.180789435515514,1.0196288258157438e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,7,0.75,0.05,0.05,48.11133248727207,48.11133248726839,3.680611371237319e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
