case,resolution,element_id,centroid_x,centroid_y,centroid_z,sfc_von_mises,analytic_von_mises,von_mises_abs_error,sfc_engineering_strain_norm,analytic_engineering_strain_norm,engineering_strain_norm_abs_error,stress_l2_error,strain_l2_error,status,details
analytic_uniaxial_stress_strain_patch_cloud,1,0,0.25,0.25,0.25,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,1,1,0.75,0.75,0.25,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,1,2,0.5,0.5,0.5,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,1,3,0.25,0.75,0.75,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,1,4,0.75,0.25,0.75,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,2,0,0.125,0.125,0.125,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,2,1,0.375,0.375,0.125,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,2,2,0.25,0.25,0.25,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,2,3,0.125,0.375,0.375,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,2,4,0.375,0.125,0.375,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
analytic_uniaxial_stress_strain_patch_cloud,2,5,0.625,0.125,0.125,160.0,160.0,0.0,0.001,0.001,0.0,0.0,0.0,ok,element stress/strain cloud for affine analytic TET4 patch
